제목,장점,단점,경영진에게 하고싶은 말
"개발자는 승급시험과 더불어, 내부적으로 혜택을 많이 받는다. 다른직종은..잘..","연차는 눈치없이 쓸수있다. 야근 눈치를 안봐도 된다. 1층에 카페테리아가 있는데 싸다(특히 우유가 싸다), 점심은 식대로 포함된다. 저녁은 회사 법카나 사비후 청구하는 식, 개발자 승급시험이 존재해서, 잘하면 연봉을 빠르게 올릴수있다. 중소기업으론 연봉이 꽤 높은 편이다.","승급시험은 프로그래머에게만 존재하는 것 같다. 신입 교육이 인사적 교육만 있고, 기술적 교육이 존재하지 않는다. 그런데, 신입을 너무 좋아한다. 경력 이직자가 거의 없다. 인센을 기대하기 어렵다. 상하관계가 뚜렸하다.",합리적인 보상 및 교육 체계가 있었으면 좋겠습니다. 수평적 구조로 발전했으면 좋겠습니다.
대기업으로의 성장이 기대되는 회사 능력이 있으면 대우를 받는다,"야근이 적은거 같고, 능력을 키울 수 있다 성장하는게 느껴진다",어느회사나 똑같겠지만 팀을 잘 만나야한다 수직적인 팀도 존재,신규 사업 추진에 적극적인 모습과 소통이 있었으면 좋겠다
승진 기회가 많고 능력을 봐주는 유연한 회사이다. 하지만 업무 체계를 정확히 정리하는 것이 필요하다.,IT회사다보니 대체적으로 젊고 자유로운 분위기이다. 채용시 스펙을 중요시 하지 않고 능력 중심으로 인재를 뽑는 것이 느껴진다. 영업직군은 타회사처럼 술을 마시게 하는 등 과도한 영업을 요구하지 않아 깔끔하게 일을 할 수 있다.,부서마다 다르겠지만 영업군은 야근이 잦다. 거의 매일 야근을 해야 된다고 보면 된다. 그리고 나름 큰 기업이지만 아직도 체계가 제대로 잡히지 않아 업무의 경계가 모호하다.,직원 복지를 좀 더 신경 써주면 좋겠다.
팀마다 분위기가 다 다르기 때문에 팀 복불복이 심한 회사,"팀을 잘만나면 하고 싶은대로 다 할수 있다. 칼퇴, 휴가도 간섭도 별로 없다",팀 잘못걸리면 야근 만하고 윗사람들 헛소리도 들어 줘야 되고 고문임,직원과의 소통이 없다. 소통 한다고 이상한거 하는데 일방향 소통임 지시나 다른게 없는거 같다
"IDC는 1년이후 평가 이후 연봉제로 바뀜. 회식은 별로 없고, 3명은 교대근무, 그 윗 사람은 주간근무","야간이후 평일3일을 쉼, 야간에 일이 많지 않아 자기 공부및 기타 등등을 할 수 있음. 연봉제는 6개월마다 호봉이 오름.","교대근무를 한다면, 다른사람과 만나기 힘듦. 같은 일만 반복하다보면 익숙해져서 자기개발을 안할 수 있음.","이래저래 많이 바뀌는 추세인데, 앞으로 어떻게 시대에 맞혀서 따라갈지 의문임"
어떤 팀을 만나느냐에 따라 고생을 하느냐 개고생을 하느냐 달라질 수 있다. 복지가 없다. 화장실이 엉망이다. 개발자에겐 좋지만 그 외의 직군은 비추천. 승진기회도 개발자 직군에게만 개방적. 연봉도 마찬가지.,예술의 전당 앞에 있다. 점심시간에 산책하고 올 수 있다. 지연출근제도가 있다.,회사 재정상태가 나쁘다. 걱정된다. 신사업을 빨리 찾아야할거 같다. 9시 6시 근무라 시간이 애매하다.,회사복지좀 챙겨주세요. 아침에 빵 종류도 두 종류... 딱 아침에만 주고....너무... 열악함…
벤처정신 고생으로 일군 회사 결국 스스로 무덤을 파버리는 회사,소프트웨어 제조사 답게 다양한 프로그램을 접해볼수 있다. 초봉이 괜찮은편이다.,"인사평가가 완전 주관적이여서, 정치 잘하면 조기승진이 가능함. 인쎈티브, 연봉상승율 없다.","사람을 놓치는 기업은 결국 파산이라고 했습니다. 지금 있는 사람부터 잘지키시고, 초심을 되돌아보세요"
다닐만은 한 회사 서울 사옥 이외에 제주도에도 사옥이 있어서 사업부에 따라서 제주도 귀향은 서비스 (제주도 땅 값 휴),"야근 후 다음날 지연 출근 제도 (9시 퇴근 -9시 출근: 이득 없음, 10시 퇴근 - 다음날 10시 출근 약간 이득, 11시 퇴근 - 다음날 11시 출근) 요새는 때때로 제주도 사옥으로 워크샵 2시간 단위 연차 제도",예술의 전당이라 서초역에서 버스 한번을 더 타야함. 광역 버스는 내려서 도보 10분안으로 도착 지하철 이용자는 교통이 별로인데 광역 버스가 유리함. (단 우면산 터널이 아침에 막힘),성과급은 주식으로 받았는데 받은지 5년 안 되서 퇴사해서 다 한푼도 보상 못 받고 반납 성과급은 그냥 깔끔하게 돈으로 줘라 난 제주도가 싫어요
직원 연령도 어리고 자유로운 분위기의 회사. 하지만 실적의 압박과 야근이 단점입니다.,스펙을 정말 안보기때문에 직원 연령도 어리고 비교적 자유로운 분위기입니다. 그리고 사람들도 친절하고 착합니다.,타 기업과 마찬가지로 실적의 압박이 많습니다. 상사에게 밉보이면 매일 갈궈지고 그때문에 퇴사한 직원도 꽤 있습니다. 그리고 부서에 따라 다르겠지만 야근이 일상입니다.,구체적인 프로세스가 구축되어 있어서 일의 효율성이 높았으면 좋겠습니다.
면접이 꼼꼼한 회사 신입에게는 좋은 기회가 될수도 있는 회사,기술력이 좋고 개발자에 대한 예우가 있다 신입에게는 좋은 직장,신입에개 많은것을 요구하는 부서가 있다 실력키우기는 좋지만 스트레스도ㅠ이만저만이ㅜ아님,갸발자에개 잘해주는거누좋지만 좋은 기업뷴위기를 만드는데 ㅣㅁ써주세요
오래된 회사인 만큼 시스템이 낡아 좋은 점도 있지만 변화에 빠르게 대처하지 못함. 신입 첫 직장으로는 좋은 회사,팀마다 다르지만 대체적으로 개인 생활과 업무의 균형을 맞추기 좋다.,오래 다니는 사람이 많아 승진이 밀려있고 내부적인 제도로 인해 경력으로 입사하기에 좋지 않다. 개발용 PC 성능이 너무 안 좋음.,개발자 제도 개선 및 연봉 인상과 연말 보너스 지급 좀 해주면 좋겠습니다.
사원들도 꽤 큰 역할을 맡아 일해볼 수있음. 다른 회사의 같은 년차들보다 실무능력치 올리기 좋음.,직원들이 안정적으로 다닐 수있는 회사. 여사원들 복직률도 좋고.,개발자 위주의 회사. 개발자가 스펙과 일정을 거의 좌지우지하는듯,성과 위주 인센티브 도입이 절실합니다. 호봉제는 일잘하는 사람이 야근 독박하는구조
"회사의 전반적인 업무를 경험해 볼 수 있어서 좋음 하지만 팀마다 분위기가 천차만별 또한, 본부장이 어떠한 사람인지에 따라 그 밑에 사람들의 성격이 나오는듯",복지부분은 좋은듯 함 사내 카페테리아도 괜찮고 위치도 비교적 좋은편,자기계발을 할 수 있는건 좋으나 교육적인 부분이 굉장히 미흡함 숫자를 알려주고 구구단 하라는 식의,신입사원들의 교육의 부분이 체계화되고 확실하게 되었으면 좋겠네요.. 그리고 인사좀 받아줘요. 사내
수평이라고 말하나 실제론 수직적인 구조를 가진 기업 알고리즘을 잘하는 개발자에게 추천,연차 대비 중요도 있는 업무에 투입될 수 있음 알고리즘을 잘한다면 짧은기간에 연봉을 높일 수 있음,"수동적으로 일하는 분위기 그래서인지 능동적으로 나서서 일하면 피곤해짐 일, 책임 떠 넘기기",개발자 승급제도 개선 개발자 신입 교육 개선 자판기 가격이 비싸다
시간적 여유가있어 본인의 의지만 있으면 무한대의 성장이 가능한 곳,"팀마다 다르겠지만 우리팀은 칼퇴, 야근 기피 문화가 잘 잡혀있어 눈치없이 퇴근 가능하고 휴가도 며칠씩 붙여써도 문제가없다. 본인 일에 부여된 자유도도 높은편이라 마음껏 실력을 발휘할 수 있다. 승진도 시험만 통과하면 쭉쭉 할 수 있다",일의 자유도가 신입에게도 꽤 높은편이라 방향을 제대로 잡지 못하면 월급루팡이 될 수 있다. 본인에게 주어진 시간이 많은데 비해 체계적인 개발자 교육이 부족한 것 같다.,현재는 회사 재무상태가 어려워 금전적 보상이 적지만 좋은날이 왔으면 좋겠습니다
"회사 다니기는 편하고 좋음, 다만 연봉에서 불만족스러운 일들이 있어서 그 뒤로는 연봉을 꽤나 올렸음, 금전부분에서 있어서는 보수적임",자유로운 분위기로서 회사다니기는 좋음 젊은 사람들이 많아서 회사도 젊음,"가늘고 길게가는 느낌이 강함, 어떤 면에서는 상당히 보수적임.",직원들이 장기 근속을 할 수 있도록 많은 도움을 주었으면 좋겠다. 직원들이 이직을 하지 않도록 회사 분위기를 만드는 것이 중요
개발자는 정말 많은것을 배우고 시야가 넓어짐,기업문화가 많이 진보적인 자세여서 사원의 능력을 중요시함,"소프트웨어 회사이지만, 국내에 출시한 제품들에 한정적이고 회사의 매출이 고정적인 편입니다.",조금 더 세계 발판으로 나아갔습니다 좋겠습니다.
크게 압박하지 않는 자율적인 분위기를 가진 소프트웨어 전문기업,"IT기업답게 자율적인 분위기와 젊은 느낌이 강점. 야근강요 없음.(팀마다 다를지도?) 연차(반차, 반반차)나 공가 사용에 크게 문제없음. 병특끝나고도 계속 다니는 사람들 꽤 있음.",작은 회사에서부터 시작해서 그런지 체계가 덜잡힌부분이 더러 있음. 사내 교육 시스템이 다소 부족.,기존 제품에 안주하지 않고 혁신(신기술/개발방법)할 수 있는 환경/분위기를 조성해주시면 좋겠습니다.
특별히 좋은 점은 없지만 큰 단점도 없는 중견기업,지연출근제도가 있어서 10시 퇴근하면 그 다음날 10시까지 11시에 퇴근하면 다음날 11시에 출근할 수 있는 제도가 있고 실제로도 잘 쓰이고 있다. 초봉이 높은 편이다. 임시휴일같은걸 잘 쉬게 해준다 등등 개발자는 시험을 봐서 승진 기회를 앞당길 수 있다 하지만 개발자외에는 시험기회 자체가 없긴하다 연차는 쓰지않으면 연차수당으로 다시 돌려준다,"초봉만 높고 그 다음부터 올라가는건 호봉제여서 크게 올라가지 않는다 복지나 명절, 상여금같은게 거의 전무하다 요즘 적자라서 좋았던 복지가 거의 없어졌다 예전엔 빵도 주고 주먹밥도 주고 맛있는것도 많이 줬는데 지금은 아침에 빵 제공하는것만 남아잇다.",은 없다 그래도 흑자많이 날때는 사원들에게 많이 돌려주려고 하는게 보여서 요즘은 적자니깐 이정도도 감지덕지 그래도
"사람 스트레스 없음. 여기서 일하는 사람들 성격이 다 비슷비슷 (대부분 착하고 동글둥글, 팀마다 차이가 있어 간혹 아닌 사람도 있다고 함)","지연출근제 (10시까지 야근 다음날 10시 출근, 11시까지 야근 다음날 11시 출근, 그 이후 11시 출근~), 아침에 토스트 줌","개발자 중심. 개발자 우대 마인드가 있음. 상대적으로 기획자, 디자이너 등 일반직 파워가 약함.",오래 머물를 수 있는 회사가 되었으면 좋겠습니다
"개발자만 중시하는 구조, 디딤돌 삼아서 다른곳으로 이직하기에 좋은 회사.","알약, 알집하면 사람들이 어느기업인지 다 알아주는 인지도. 평균연령이 낮아서 젊은 분위기",수평적인 문화라는 대외적 타이틀에 비하여 실제로는 수직적인 경우가 대부분임. 특정 사업본부의 경우 정치에 기반한 인사가 있음. 장기근속자가 많지않음. 자기발전의 기회가 적음,"트렌드를 앞서가지 못하면 제때 흐름이라도 타야하는데 한발 느린채로 직원들에게 압박만 증가하는것 같습니다. 직원은 소모품이 아닙니다. 나가면 뽑으면 그만이 아니라는점, 퇴사를 하면 직원도 고객이 된다는 점을 생가해주셨으면 좋겠습니다."
논리가 통하고 열심히 하는사람이 대접받을 수 있는 회사. 개발자로서 지내기 좋은 회사,별다른 사내정치 없이 지내기 좋음. 개발자는 개발 열심히하면 왠만한건 보장이 됨,대박의 꿈을 노리기는 쉽지 않아보임. 위에서 지시만 내리기 보다는 아랫사람들의 의견을 합쳐보는 것도 중요해보임,"직원들에게 조금 더 투명한 공개를 해주길, 그리고 조금 더 직원들에게 관심을 가져주길"
여러분야를 하고있기에 가능성이 큰회사입니다 소프트웨어업에 문어발로 통하더군요,자유로운분위기를 꼽을수있고 많은 고객을 가지고있어서 잘만하면 대박나지않을까요,많은분야에 서비스를 제공하는만큼 한분야에 파고들기어렵고 발빠르게 기술트렌드에 따라가지못하는것으로보인다,좀더 빠른 기술변화를통해 새로운것을 더 빨리받아들이고 수용할수있어야 할것입니다
복지도 괜찮고 연봉도 중간이나 이상정도 받을수있다,야근도 많이 하지 않고 회사 분위기도 자유롭다. 회사 위치도 좋음 점심 먹고 예술에 강당가서 여름에 분수쇼 구경도 감~,직급마다 필수 도서가 있음 꼭 읽고 감상문 작성해야 함. 너무 귀찮음,필수 도서 이런거 안하면 좋겠음. 필수가 아닌 선택이면 좋겠습니다. 좀 스트레스 받음
신입이 다니기에는 추천하고 싶은 회사. 경력직이 들어오면 당황하는 경우를 많이 봄.,중소기업치고는 신입사원이 다니기에는 괜찮은 회사라는 생각이 든다.,승진이 다른 회사에 비해 조금 늦는 편이다. 다른 회사 다니는 친구는 대리인데 본인은 사원이라고 불만을 제기하는 경우가 꽤 있다.,성과보다는 야근이나 업무태도 등에 신경을 더 많이 쓰는 걸로 느껴지는 점이 아쉽다.
능력이 된다면 나이와 직급에 상관없이 중책을 맡겨준다.,"개발직군은 시험을 빠르게 통과하면 빠른 승진가능, 자유로운 복장/분위기",개발직군의 경력자는 오히려 시험이 발목을 잡을 수 있음,"새로운 분야에 대한 도전이 늦음, 제품 기능추가가 늦음"
부서마다 분위기가 180도 다른 회사,알시리즈를 통해 국내외에서 인정받은 탄탄한 기반의 회사. 아침식사 및 간식 제공과 같은 아이디어로 직원들을 배려해주는게 인상깊었음. 업무강도가 쎄긴 하나 그만큼 많이 배울 수 있었던게 좋았던것 같음,"부서마다 새로들어온 신입/경력 사원을 대하는 분위기가 너무나 달랐음. 텃세가 좀 있어보였고, 인터넷에서 흔히 알려져있는 '자유로운 분위기' 혹은 '수평적인 회사'라는 분위기와는 조금 멀게 느껴짐. 오히려 굉장히 군대식이고 수직적인 분위기라는게 느껴졌고, 이로인해 담당자들이 몇달 내지는 몇주를 간격으로 자주 바뀌는게 눈에 띄었음","새로온 사람들에게 조금 더 관심을 가져주고, 업무가 바쁘더라도 새로운 사람들이 빨리 새로운 업무 환경에 적응 할 수 있도록 감싸안아주는 환경이 조성되었으면 좋겠습니다."
괜찮은 보수를 주고 저녁이 있는 삶이지만 개발직군 외에는 개인 성장을 기대하기에는 힘든 점이 있음,"괜찮은 보수, 저녁이 있는 삶을 보장해줌. 젊은 기업이라 직원간에 수평적인 커뮤니케이션 구조가 형성되어 있음.",경영진의 마인드가 너무 올드함. 새로운 제품을 계속 출시하지만 상세한 시장 조사 등이 부족하고 감에 의지한 경우가 많음,아래 사원들의 말에 귀를 좀 기울이고 자신의 고집을 꺾을줄 알아야함
"팀마다 분위기가 상이하며, 수평적인 조직문화는 아닙니다.","연봉수준이 나쁜편은 아니며, 개발자/여자가 다니기 좋은 회사입니다.","비전 공유가 안되며, 교육 지원 등이 부족하다고 생각합니다.",경력직 채용과 중간관리직 점검이 필요하다고 생각합니다.
개발자의 대우가 좋은편이고 회사 분위기는 팀별로 다르니 입사할 때 잘알아보는것이 좋다.,업무강도가 대체로 높은 편이라 세상일 모두 잊고 개발에 매진할 수 있음.,흔히 꼰대라고 불리는 몇몇의 사람들이 부서 전체 분위기를 휘어잡고 있어서 갑갑하다.,기술도 좋지만 인성을 중시하는 문화가 되었으면 합니다.
겉으로 보여지는 것과 달리 수직적인 분위기,멘터링 제도가 있어 신입사원이 적응하기 쉽도록 도와줍니다 11시까지 야근하면 다음 날 11시까지 야근할 수 있도록 배려 해 줍니다,주말 출근 보상이 제대로 이루어지지 않는 경우가 많습니다 연차는 있지만 지정된 휴가기간은 없기 때문에 윗사람들 눈치 보다가 정작 휴가를 못 쓰는 경우가 많습니다,현재의 비용만 바라보지 않고 차후의 시스템적인 면에도 투자를 해야할 것 같습니다
"갈수록 줄어드는 복지, 미래 먹거리 부재",개인시간을 충분히 가질 수 있는 팀이 꽤 있다. (특정직군 제외 SE라던가 SE라던가),알고리즘 시험을 경험 못한 개발자는 연봉이 오랜 기간 정체되어 있음 해당 시험을 통과해도 업계 평균 연봉보다 떨어짐.,개발자들이 시험에만 열중해야 하는 문화는 없에는게 어떨까요.. 그리고 기획 등에 직접 개입하는것보다 좀 더 직원을 신뢰하는 것이 어떨런지
자사 제품만 개발하기 때문에 외부에서 압력으로 인한 스트레스는 적은편. 분위기도 나쁘지 않은편이고 전반적으로 근무하기 괜찮은 회사임,"신입의 경우 알고리즘 실력, 업무를 잘한다면 연봉을 빠르게 올릴수 있음 회사에서 다루는 프로그램 영역이 많아 인맥관리를 잘 한다면 다른 분야의 개발자들과 교류가 가능",여러 분야의 프로그래머들이 있다보니 특정 분야에 대해 특화되기가 힘듬 경력직이 들어오는 경우가 거이 없어 신입으로 무언가를 배우기에는 약간 아쉬움이 있음,경력직을 좀더 적극적으로 뽑아 사내 노하우를 더 쌓았으면 좋겠습니다.
"중소기업치고 꽤 괜찮은 연봉및 근무여건, 젊고 자유로운 분위기가 강점","누구나 아는 프로그램의 개발자가 될수 있음(부서마다 다름), 다수의 사용자를 가진 소프트웨어 개발 경험(역시 부서마다 다름), 비교적 자유로운 분위기(악덕 상사 떄문에 스트레스 받는 일이 드뭄), 경력자보다는 신입을 뽑아서 키우자는 분위기, 개발자에겐 개발자 출신 CEO가 나름 장점.","부서간에 이동이 쉬운편이 아님. 개발자라면 알고리즘을 잘해야 승진함(이거 꽤 스트레스, 하지만 그만큼 많이 배울 수 있음)",많은 경력자들을 유치하여 다양한 업계의 경력 자들이 어우러져 많은 경험을 서로 배울 수 있다면 더 좋을듯.
연봉은 평이했고 팀 분위기가 팀마다 상이한 것에 동의합니다. 개방적이고 구글을 따라하려고 하지만 실상은 수직적인 분위기임.,"수직적인 분위기이지만 그래도 서로 친하게 지내는 분위기, 같이 일하는 사람끼리 웃으며 일할 수 있다.",교육비 지원이 복지혜택에 있는데 자격증을 따기 위한 복지는 지원이 안되는 것으로 보임. 또한 안쓸 수 없는 수직적인 분위기.,특별히 바라는 점은 없습니다.
"오래 다닐만한 회사는 아님, 2년에서 3년 정도 다니기에는 좋은 회사입니다.","다들 젊어서 확실히 보수적이지는 않음, 술강요는 전혀 없습니다.",회사 정원 평균 연령이 30대 초반으로 어림 이뜻인 즉슨 여기에 오래 있으려 하기 보단 거쳐가는 회사로 인식,"경영진이 모두 창립멤버 위주여서, 다들 회사 생활을 해본 적이 없음, 보이지 않는 부조리가 많음 이부분을 잘 헤아려주길"
응용프로그램/포털 회사를 가장한 게임회사.,회사 건물이 있어 이사 다니지 않아도 된다. 초봉만 보면 꽤 괜찮은 회사.,시간이 갈 수록 복지가 점점 줄어들기만 한다. 바쁜팀은 바쁘고 한가한 팀은 할일이 없다. 돈버는게 게임뿐. 그러나 연봉은 포털이 가장 높다(초봉기준) 3년차 이후 연봉이 잘 안오르는편,잘 모르는데에 끼어들지 말아줫으면 한다. 직업윤리를 지켜라. 기업의 방향을 그렇게 자주 바꾸지 마라
글로벌 소프트웨어 회사로 성장 가능성이 많은 회사입니다..,"승진기회가 열려있고, 특히 개발자의 경우는 빠른 승진이 가능함.",야근이 너무 많아서 삶의 균형이 많이 깨짐..,직원과 의사소통을 좀 많이 해야될듯..
"일과 삶의 균형을 지킬수있고, 회사분위기가 좋습니다. 여러모로 산업 변화에 발맞춘 대비는 하고 있지만 빠른 발전을 하는 분위기는 아니에요.","직원의 행복을 정말 고려하는 사장님부터 팀바이팀이겠지만 자유로운 분위기, 전반적으로 서로 배려하고 억압없는 좋은 기업문화",크게 발전하는느낌보다는 안주하는느낌 생활은 자유롭지만 업무에 있어서는 약간보수적이고 발전적이지 못합니다.,좀더 성과에 대한 보상을 주는 등 활발하게 경쟁하고 발전할수있는 기업이 되었으면 좋겠습니다.
다방면으로 사업을 펼치고 있는 중견기업,게임업계 기준으로썬 연봉이 높은편. (IT 전반을 봤을땐 다소 불만족 스러울지도?) 마음 먹기에 따라 편하게 자기 삶 영위하며 다닐 수 있음,저비용 고효율을 추구함. 적은 인력으로 많은 것들을 하려고 함.,사업관련 부서보단 R&D 하는 직군에게 힘을 실어주면 더 좋을 듯 함.
it업계 첫직장으로 좋음. 연봉도 괜찮고 야근도 많지않은 편. 다만 미래 먹거리가 불확실한 것이 단점.,개발자에게는 매우 편함. 전체적인 분위기가 자유로운 편. 다른 곳보다는 실무 투입이 빠른 편.,. 장점 개발자에게는 매우 편함. 전체적인 분위기가 자유로운 편. 다른 곳보다는 실무 투입이 빠른 편. 단점 팀마다,이 회사의 미래에 대한 확신을 주면 좋겠음. 미래가 불확실하고 방향성이 모호하니 가끔 회의감 들어서 일하기 싫음.
기회가 무한한 회사. 역량과 노력에 보상이 적절항 회사! 내 회사지만 강력 추천하고 싶은 회사,수평적 자유로운 회사 분위기. 모난 사람 없이 둥글고 자연스럽게 융화되고 친근함. 전문성을 기를수 있고 업무 배치에 유연성이 있음,복리 후생이 다양하지 않음. 다양한 혜택을 주려고 많은 고민을 하는 것은 보임.,더 할 나위 없다. YES!
더 넓은 세상에 도전하고 자기 자신을 채찍질할 마인드를 가진 분만 지원하기를 바랍니다.,실력이 좋은 분들이 많아서 단시간에 많은 것을 배울 수 있고 새로운 도전을 많이 받게 된다.,지나치게 타이트한 업무 분위기와 경직된 조직 문화가 있다.,회사를 체계적으로 운영하는 것도 좋지만 결국은 회사의 구성원은 사람들이므로 끝없는 인간적인 조율의 과정이 필요하다는 것을 인식할 필요가 있습니다.
직장생활 시작하기 좋은 곳,"수평적인 분위기, 야근에 대한 적절한 보상, 연차 사용 자유로움, 만족스러운 복지","예전에 비해서 혜택이 줄어드는 느낌, 새로운 사업 개발의 필요성",돈 많이 벌고 싶습니다 ㅠㅠ
공무원 마인드 회사로 전체적으로 정체되어 있는 느낌이 강함,신입으로 배우기에는 장점이 많은 회사로 편하게 오래 다니기는 좋은 듯,사업이 너무 정체되어 있고 외부 활동이 거의 없음 중간 관리급이 매우 없음,기존 인력을 중시하는 문화를 버리고 새로운 인력풀을 찾아야함 그리고 보다 공격적인 사업 전략이 필요함
바로 현업에 투입되어 클 수 있다.,아이디어나 의견을 자유롭게 교류할 수 있다.,"인사쪽 시스템이라든지, 경영진 의사결정이 아무래도 좀 더 체계가 잡혀야 할듯",일희일비하지 말고 멀리 보고 전략을 세우고.. 좀.. 체계가 잡혔으면 좋겠습니다.
시작하기는 좋은 회사. 허리가 없다는점이 약점,그럭저럭 적절한 연봉. 야근이 없음. 회식강요 없음,경영진의 의사로 모든게 결정됨. 회식이 너무 없음 ㅋ,.
노력만 한다면 연차 상관없이 빠르게 진급 및 성장 가능.,"회사 규모대비 연봉 수준, 자유로운 분위기","자극과 경쟁이 약해서 약간 나태한 분위기, 중간 관리자급 멘토 찾기 어려움",개발자 중심적인 사고방식에서 벗어났으면..
소프트웨어 개발자로서 역량을 기르고 싶다면 추천하고 싶다.,"자유로운 분위기, 하지만 기본은 지켜야함. 연봉은 보통수준.",정체되고 있다는 느낌을 받는다. 회사의 수입상황이 좋지 않다.,좀 더 모험적인 시도가 있어야 하지 않을까 싶네요.
팀마다 분위기가 상이합니다. 굉장히 수직적인 팀이 있는 반면 자유롭게 의사소통 가능한 팀도 있습니다. 외부의 일이 아닌 자사의 소프트 및 게임 관련 업무만 하기 때문에 다양하고 많은 기회를 접하기는 힘들 수 있습니다.,"전체적으로 연령층이 젊기 때문에 분위기가 밝은 편입니다. (팀에 따라 굉장히 어두울수도) 본사 사옥의 위치가 좋은편이며, 팀의 성향에 따라 다르지만 대체적으로 야근을 지양합니다. 만약 야근 할 경우 당당하게 지연 출근제도를 이용할 수 있습니다. 팀만 잘 만나면 삶과 업무의 균형을 충분히 누릴 수 있습니다. 연차 및 반차, 반반차는 눈치 없이 사용 가능합니다.",계속되는 적자로 인해 복지가 조금씩 줄어들고 있습니다. (오후간식이 사라짐...) 사내 커뮤니케이션은 겉보기와는 다르게 약간은 보수적인 측면이 있습니다. (임원이라던지.. 아니면 임원들이라던지..) 임원들은 대부분 친근하고 소탈한 편이지만 가끔 무리한 요구를 합니다. (근데 회사 사정을 보면 그럴 수 밖에 없을지도..),간식 부활시켜 주세요
화이팅!,연봉은 괜찮으며 여성이 근무하기 좋습니다.,"부서마다 분위기가 다릅니다, 회사로 오래근무한 사람들이 많아서인지 정체된 분위기입니다.",비전을 보여주세요. 능력있는 사원 등 경력직 채용도 고려해주세요
안정적이고 자기개발할 시간이 많습니다.,연봉은 괜찮은 편입니다. 칼퇴근휴 여가생활을 즐길수 있습니다.,게임개발자의 경우 스스로 노력하지 않으면 정체되어있는 기분이 듭니다.,상하소통이 가능한 회사였으면 좋았을것같습니다.
"회사분위기는 자유로운편, 하지만 팀마다 분위기는 다다른듯. 특정부서는 일이 많아 사람이 피곤해보인다.","자유로운 분위기, 대졸 초봉은 it 평균이라고 생각함.",최근 회사가 어려운지 각종 복지가 사라짐. 간식제도라든지 기숙사제공이라든지 모두 사라짐,없음
다양한 경험과 기회를 주는 기업,다방면으로 경험을 쌓을 수 있는 회사. 꼰대가 거의 없어서 윗사람이라도 말이 안 통하는 경우는 거의 없음. 능력과 야망이 있다면 최대한 발휘할 수 있도록 해 줌. 업무보다 개인의 사생활을 많이 신경써주는 인간 중심적인 분위기.,"회사에서 역량 향상을 시켜주지 않음(상사가 끌어주는 개념이 거의 없음). 스스로 모든걸 해야함. 오래 다니다보면 자신에게 더 이상 발전이 없다는 두려움이 생김. 다방면의 경험을 할수는 있으나, 특정",특별히 없음
모바일이 약함,"지연출근제도가 용이, 비교적 퇴근이 빠른편, 적당한 스트레스를 받을 수 있음, 회식강요 없음","임원진들 몇마디로 프로젝트 엎어짐.. 간식제도 사라짐, 점심을 안준다, 신입과 플젝엮이면 난감해짐-0-","간식제도 부활, 점심제공. 건물이 낙후되어있고 지하철과 너무 멀다!!!!"
연봉은 생각보다 높지 않으나 성장할 수 있는 환경이 갖춰져있고 복지가 좋음.,본인의 노력 여부에 따라서 승진기회 및 성장 가능성이 열려있음.,신규 프로젝트인 카발2가 성공하지 못해서 직원,처음부터 다 갖춘 직원을 뽑기보다는 기존 직원의 역량육성에 힘써줬으면 함.
크지않은 규모임에도 수백만 천만명이상이 쓰는 제품을 기반으로 일해볼수있는 직장이에요 영양가있는 경험이 가능해요,젊은 임직원들이라 자유롭고 젊은 분위기 강요하지 않는 문화 깨끗한 근무환경 어울리는 문화,신입이 많아 사내에 축적된 전문지식이 많지않음 약간은 개인적인 직원간에 관계 조금 부족한 사내교육,과감한 시도 시대에 맞춰가는 도전이 필요함 경력사원의 적극적인 채용이 필요함 무능력한 직원들 과감히 구조조정해야함
열심히 일하면 그만큼의 보상도 뒤따르나 야근과 사내 정치가 만연하니 본인이 적응할 수 있는지 판단해보고 지원하도록.,일하는 만큼 보상 받는 시스템. 동종 기업들에 비해 젊은 나이에 승진할 수 있음. 타 기업에 비해 개발자의 경우 본인이 하고 싶은 업무를 최대한 존중해주는 분위기(그만큼 잘해야 하지만).,한때 야근 없는것이 장점이었으나 요즘은 야근 강제하는 분위기. 물론 직군마다 야근 강도 다름. 아직도 야근 없는게 장점이라고 말하는 사람이 있다면 사무직쪽 직군일 가능성 높음. 사내 정치 심함. 임원진이 원하는 방향이 뭔지 잘 파악해서 그대로 일하는 사람들이 평가 좋게 받음.,"대기업 쫓기, 경쟁사 의식하느라 무리수 그만 두고 잘하는 분야에 집중했으면 좋겠음."
주도적인 업무가 가능한 곳,자유로운 분위기. 여자가 다니기 좋은 복지,체계가 없음. 가르쳐주기보다 스스로 물어가며 해야함,혁신
여자가 다니기 괜찮은 회사,부서마다 차이가 있겠지만 남녀 차별이 없다. 술 권하지 않는다. 출산 휴가가 자유롭다. 기본 1년이고 2년 쉬는사람도 있었던 것 같다. 복귀해도 동일한 대우를 받는다.,"어딜가나 있겠지만, 뒷담화 하는 사람이 있음. 부서마다 차이 있겠지만 끼리끼리 어울리는 경향이 있다.",
